"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"KMZ95K5C","journalArticle","2025","Zhao, Jing; Xu, Dayan; Yuan, Xiulian; Liu, Dehan","Cooling supply allocation model predictive control strategy of data center computer room air conditioning systems considering multi-zone thermal coupling effects","Applied Thermal Engineering","","13594311","10.1016/j.applthermaleng.2025.127103","https://linkinghub.elsevier.com/retrieve/pii/S1359431125016953","In large-scale data centers, cooling demands vary across zones due to differences in server density, airflow patterns, and IT loads. Unlike enclosed cold or hot aisles, the conventional open room-level cooling system with underfloor air supply experiences significant mixing of cold and hot air. The lack of effective zone-specific control frequently results in overcooling in some zones and undercooling in others, leading to temperature imbalances and substantial energy waste. This research introduces a cooling supply allocation model predictive control (CSA-MPC) strategy of computer room air conditioning (CRAC) systems considering multi-zone thermal coupling effects. The strategy aims to provide precise, demand-based cooling to each zone while ensuring uniform thermal distribution throughout the data center. By integrating the attention mechanism algorithm, a generalized server room temperature prediction model was developed, enabling accurate multi-zone temperature forecasting. The CSA-MPC strategy employs a particle swarm optimization algorithm to iteratively adjust the supply air volume and temperature of each CRAC unit, facilitating dynamic multi-zone control. Software simulation combined with field measurements was employed to analyze the effects of temperature control and cooling allocation under both the CSA-MPC and Baseline strategies. Results showed that the CSA-MPC strategy reduced the maximum inter-zone temperature difference by 6.03℃, maintaining all zones within a range of 28 ± 0.5℃. Additionally, the CSA-MPC strategy improved cooling efficiency, reducing total cooling supply by 8.73 % while maintaining uniform temperatures, thereby demonstrating its regulatory advantages.","2025-10","2025-10-29 17:27:35","2025-10-29 18:29:19","2025-10-29 17:27:35","127103","","","277","","Applied Thermal Engineering","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/anastasijazubkova/Zotero/storage/USME6TIP/Zhao et al. - 2025 - Cooling supply allocation model predictive control strategy of data center computer room air conditi.pdf","","Cooling; Energy efficiency; Optimization; Model predictive control; Multi setpoint control; data center; Thermal management; hvac; case study; attention mechanism; dynamic control; temperature prediction; simulation; trnsys; crac; ai-driven-control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UTG4WJ2I","journalArticle","2024","Zhao, Jing; Chen, Ziyi; Li, Haonan; Liu, Dehan","A model predictive control for a multi-chiller system in data center considering whole system energy conservation","Energy and Buildings","","03787788","10.1016/j.enbuild.2024.114919","https://linkinghub.elsevier.com/retrieve/pii/S0378778824010351","To meet the thermal environment requirements for the continuous and stable operation of information technology (IT) equipment in data rooms, the cooling system needs to operate all day, which has become the second largest energy-consuming system in data centers. The absence of an effective operational control strategy in the data center cooling process results in high energy consumption and poor power usage effectiveness (PUE) of the data center. This study proposes a model predictive control (MPC) strategy considering the constraint of whole system energy conservation for a multi-chiller system in a data center. This strategy aims to maintain the data center server room temperature stable in the IT equipment working environment, and at the same time, the energy consumption of the cooling system is significantly reduced, thus the PUE of the data center is lowered. The long and short-term memory (LSTM) neural network prediction models for data center cooling load and server room temperature were constructed using the mechanism-coupled data law method. The MPC algorithmic structure coupled with cooling load prediction model and server room temperature prediction model. It takes the balance between supply and demand of cooling capacity as a constraint. The cost function of multi-chiller system control considers the temperature-controlling error in the server room and the power consumption of the chilledwater system. A particle swarm optimization (PSO) algorithm is used to solve the optimal configuration strategy of the chilled water flow rate and the water supply temperature of each chiller, which realizes the dynamic control of the chilled-water system. A dynamic regulation model was developed for a data center in North China. TRNSYS was utilized for verification based on the actual measured data and relevant meteorological parameters of the case building. Compared with the operation results of the data center cooling system with proportional integral derivative (PID) control and fuzzy control. The results show that under MPC strategy, the stability of the server room temperature has improved by 27.77% compared to PID control and by 18.08% compared to fuzzy control, demonstrating the superiority of MPC in temperature stability control in the server room. In terms of chilled-water system energy consumption, compared to the PID control and fuzzy control strategies, the MPC strategy has achieved energy savings of 11.81% and 7.58%, respectively, showing significant energy-saving effects.","2024-12","2025-10-29 17:27:55","2025-10-29 19:23:39","2025-10-29 17:27:55","114919","","","324","","Energy and Buildings","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/anastasijazubkova/Zotero/storage/MDJQMGP6/Zhao et al. - 2024 - A model predictive control for a multi-chiller system in data center considering whole system energy.pdf","","Data center; LSTM; hvac; pid control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2JB2RTZH","journalArticle","2025","Kula, Adam; Dąbrowski, Daniel; Blachnik, Marcin; Sajkowski, Maciej; Smalcerz, Albert; Kamiński, Zygmunt","Modelling the Temperature of a Data Centre Cooling System Using Machine Learning Methods","Energies","","1996-1073","10.3390/en18102581","https://www.mdpi.com/1996-1073/18/10/2581","Reducing the energy consumption of a data centre while maintaining the requirements of the compute resources is a challenging problem that requires intelligent system design. It even becomes more challenging when dealing with an operating data centre. To achieve that goal without compromising the working conditions of the compute resources, a temperature model is needed that estimates the temperature within the hot corridor of the cooling system based on the properties of the external weather conditions and internal conditions such as server energy consumption, and cooling system state. In this paper, we discuss the dataset creation process as well as the process of evaluating a model for forecasting the temperature in the warm corridor of the data centre. The proposed solution compares two new neural network architectures, namely Time-Series Dense Encoder (TiDE) and Time-Series Mixer (TSMixer) with classical methods such as Random Forest and XGBoost and AutoARIMA. The obtained results indicate that the lowest prediction error was achieved by the TiDE model allowing to achieve 0.1270 of N-RMSE followed by the XGBoost model with 0.1275 of N-RMSE. The additional analysis indicates a limitation of the use of the XGBoost model which tends to underestimate temperature as it approaches higher values, which is particularly important in avoiding safety conditions violations of the compute units.","2025-01","2025-10-29 17:28:06","2025-10-29 18:54:32","2025-10-29 17:28:06","2581","","10","18","","","","","","","","Multidisciplinary Digital Publishing Institute","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","","","/Users/anastasijazubkova/Zotero/storage/A92RL2XS/Kula et al. - 2025 - Modelling the Temperature of a Data Centre Cooling System Using Machine Learning Methods.pdf","","Data center; dataset; forecasting models; neural netwrok; random forest; Temperature; thermal safety","data centre; energy consumption; intelligent system; machine learning; smart buildings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AIJKSR6C","journalArticle","2025","Olabisi, Patrick; Mayowa, Ahmed","Development of a Predictive Real-Time Temperature Management Framework for Data Centers Using a Hybrid Deep Learning Model","IIUM Engineering Journal","","2289-7860","10.31436/iiumej.v26i3.3629","https://journals.iium.edu.my/ejournal/index.php/iiumej/article/view/3629","","2025-09-09","2025-10-29 17:28:17","2025-10-29 19:14:08","2025-10-29 17:28:17","200-219","","3","26","","","","","","","","","","en","","","","","journals.iium.edu.my","","","","/Users/anastasijazubkova/Zotero/storage/W4AH37RQ/Olabisi and Mayowa - 2025 - Development of a Predictive Real-Time Temperature Management Framework for Data Centers Using a Hybr.pdf","","hybrid models; real time control","CNN; Cooling Systems; Data Centers; LSTM; Temperature Management","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FFJ3VDDZ","journalArticle","2017","Wang, Zeyu; Srinivasan, Ravi S.","A review of artificial intelligence based building energy use prediction: Contrasting the capabilities of single and ensemble prediction models","Renewable and Sustainable Energy Reviews","","13640321","10.1016/j.rser.2016.10.079","https://linkinghub.elsevier.com/retrieve/pii/S1364032116307420","Building energy use prediction plays an important role in building energy management and conservation as it can help us to evaluate building energy eﬃciency, conduct building commissioning, and detect and diagnose building system faults. Building energy prediction can be broadly classiﬁed into engineering, Artiﬁcial Intelligence (AI) based, and hybrid approaches. While engineering and hybrid approaches use thermodynamic equations to estimate energy use, the AI-based approach uses historical data to predict future energy use under constraints. Owing to the ease of use and adaptability to seek optimal solutions in a rapid manner, the AI-based approach has gained popularity in recent years. For this reason and to discuss recent developments in the AIbased approaches for building energy use prediction, this paper conducts an in-depth review of single AI-based methods such as multiple linear regression, artiﬁcial neural networks, and support vector regression, and ensemble prediction method that, by combining multiple single AI-based prediction models improves the prediction accuracy manifold. This paper elaborates the principles, applications, advantages and limitations of these AI-based prediction methods and concludes with a discussion on the future directions of the research on AI-based methods for building energy use prediction.","2017-08","2025-10-29 19:52:52","2025-10-30 08:40:46","2025-10-29 19:52:52","796-808","","","75","","Renewable and Sustainable Energy Reviews","A review of artificial intelligence based building energy use prediction","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/anastasijazubkova/Zotero/storage/E2Y8FF29/Wang and Srinivasan - 2017 - A review of artificial intelligence based building energy use prediction Contrasting the capabiliti.pdf","","artificial neural network; hybrid models; predictive control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6WF9VBD4","journalArticle","2022","Khalil, Mohamad; McGough, A. Stephen; Pourmirza, Zoya; Pazhoohesh, Mehdi; Walker, Sara","Machine Learning, Deep Learning and Statistical Analysis for forecasting building energy consumption — A systematic review","Engineering Applications of Artificial Intelligence","","09521976","10.1016/j.engappai.2022.105287","https://linkinghub.elsevier.com/retrieve/pii/S0952197622003372","The building sector accounts for 36 % of the total global energy usage and 40% of associated Carbon Dioxide emissions. Therefore, the forecasting of building energy consumption plays a key role for different building energy management applications (e.g., demand-side management and promoting energy efficiency measures), and implementing intelligent control strategies. Thanks to the advancement of Internet of Things in the last few years, this has led to an increase in the amount of buildings energy related-data. The accessibility of this data has inspired the interest of researchers to utilize different data-driven approaches to forecast building energy consumption. In this study, we first present state of-the-art Machine Learning, Deep Learning and Statistical Analysis models that have been used in the area of forecasting building energy consumption. In addition, we also introduce a comprehensive review of the existing research publications that have been published since 2015. The reviewed literature has been categorized according to the following scopes: (I) building type and location; (II) data components; (III) temporal granularity; (IV) data pre-processing methods; (V) features selection and extraction techniques; (VI) type of approaches; (VII) models used; and (VIII) key performance indicators. Finally, gaps and current challenges with respect to data-driven building energy consumption forecasting have been highlighted, and promising future research directions are also recommended.","2022-10","2025-10-29 20:06:32","2025-10-30 08:41:43","2025-10-29 20:06:32","105287","","","115","","Engineering Applications of Artificial Intelligence","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/anastasijazubkova/Zotero/storage/FM8K9HS8/Khalil et al. - 2022 - Machine Learning, Deep Learning and Statistical Analysis for forecasting building energy consumption.pdf","","Machine learning; Deep reinforcement learning; intelligent system; classification","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LJWK55GK","journalArticle","2022","Kim, Dongsu; Lee, Jongman; Do, Sunglok; Mago, Pedro J.; Lee, Kwang Ho; Cho, Heejin","Energy Modeling and Model Predictive Control for HVAC in Buildings: A Review of Current Research Trends","Energies","","1996-1073","10.3390/en15197231","https://www.mdpi.com/1996-1073/15/19/7231","Buildings use up to 40% of the global primary energy and 30% of global greenhouse gas emissions, which may significantly impact climate change. Heating, ventilation, and air-conditioning (HVAC) systems are among the most significant contributors to global primary energy consumption and carbon gas emissions. Furthermore, HVAC energy demand is expected to rise in the future. Therefore, advancements in HVAC systems’ performance and design would be critical for mitigating worldwide energy and environmental concerns. To make such advancements, energy modeling and model predictive control (MPC) play an imperative role in designing and operating HVAC systems effectively. Building energy simulations and analysis techniques effectively implement HVAC control schemes in the building system design and operation phases, and thus provide quantitative insights into the behaviors of the HVAC energy flow for architects and engineers. Extensive research and advanced HVAC modeling/control techniques have emerged to provide better solutions in response to the issues. This study reviews building energy modeling techniques and state-of-the-art updates of MPC in HVAC applications based on the most recent research articles (e.g., from MDPI’s and Elsevier’s databases). For the review process, the investigation of relevant keywords and context-based collected data is first carried out to overview their frequency and distribution comprehensively. Then, this review study narrows the topic selection and search scopes to focus on relevant research papers and extract relevant information and outcomes. Finally, a systematic review approach is adopted based on the collected review and research papers to overview the advancements in building system modeling and MPC technologies. This study reveals that advanced building energy modeling is crucial in implementing the MPC-based control and operation design to reduce building energy consumption and cost. This paper presents the details of major modeling techniques, including white-box, grey-box, and black-box modeling approaches. This paper also provides future insights into the advanced HVAC control and operation design for researchers in relevant research and practical fields.","2022-01","2025-10-29 20:07:38","2025-10-29 20:07:38","2025-10-29 20:07:38","7231","","19","15","","","Energy Modeling and Model Predictive Control for HVAC in Buildings","","","","","Multidisciplinary Digital Publishing Institute","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","","","/Users/anastasijazubkova/Zotero/storage/ESLTVJ99/Kim et al. - 2022 - Energy Modeling and Model Predictive Control for HVAC in Buildings A Review of Current Research Tre.pdf","","","advanced HVAC technology; black-box model; building energy modeling; building HVAC optimization; grey-box model; HVAC model predictive control (MPC); white-box model","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L9NAWWYP","journalArticle","2018","Ribeiro, Mauro; Grolinger, Katarina; ElYamany, Hany F.; Higashino, Wilson A.; Capretz, Miriam A.M.","Transfer learning with seasonal and trend adjustment for cross-building energy forecasting","Energy and Buildings","","03787788","10.1016/j.enbuild.2018.01.034","https://linkinghub.elsevier.com/retrieve/pii/S0378778817329171","Large scale smart meter deployments have resulted in popularization of sensor-based electricity forecasting which relies on historical sensor data to infer future energy consumption. Although those approaches have been very successful, they require signiﬁcant quantities of historical data, often over extended periods of time, to train machine learning models and achieve accurate predictions. New buildings and buildings with newly installed meters have small historical datasets that are insuﬃcient to create accurate predictions. Transfer learning methods have been proposed as a way to use cross-domain datasets to improve predictions. However, these methods do not consider the effects of seasonality within domains. Consequently, this paper proposes Hephaestus, a novel transfer learning method for cross-building energy forecasting based on time series multi-feature regression with seasonal and trend adjustment. This method enables energy prediction with merged data from similar buildings with different distributions and different seasonal proﬁles. Thus, it improves energy prediction accuracy for a new building with limited data by using datasets from other similar buildings. Hephaestus works in the pre- and post- processing phases and therefore can be used with any standard machine learning algorithm. The case study presented here demonstrates that the proposed approach can improve energy prediction for a school by 11.2% by using additional data from other schools.","2018-04","2025-10-29 20:11:30","2025-10-30 08:22:02","2025-10-29 20:11:30","352-363","","","165","","Energy and Buildings","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/anastasijazubkova/Zotero/storage/XW4ER2BC/Ribeiro et al. - 2018 - Transfer learning with seasonal and trend adjustment for cross-building energy forecasting.pdf","","forecasting models","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AHXYKJX9","journalArticle","2017","Ni, Jiacheng; Bai, Xuelian","A review of air conditioning energy performance in data centers","Renewable and Sustainable Energy Reviews","","13640321","10.1016/j.rser.2016.09.050","https://linkinghub.elsevier.com/retrieve/pii/S136403211630541X","During the last years, many countries are experiencing rapid expansions in the number and size of data centers to keep pace with their internet and cloud computing needs. High energy consumption of the data center has gradually attracted public attention. However, there are no common efﬁciency standards governing the design or operation of data centers and the associated air conditioning systems. And the statistical research on air conditioning energy performance is still sorely lacking. This paper presents a summary of 100 data centers air conditioning energy performance. Energy efﬁciency metrics and benchmarks are also provided so that operators can use these information to track the performance of and identify opportunities to reduce energy use of air conditioning systems in their data centers. The collected data from articles and reports show that the average of HVAC system effectiveness index is 1.44. More than half of the data centers’ air conditioning systems are inefﬁcient. In total, HVAC systems account for about 38% of facility energy consumption. The range for this usage was 21% for the most efﬁcient system and 61% for the least efﬁcient system. Moreover it would be necessary to review some currently available energy efﬁciency strategies such as economizer cycles, airﬂow optimization, energy management, and simulations tools.","2017-01","2025-10-29 20:13:29","2025-10-30 08:21:46","2025-10-29 20:13:29","625-640","","","67","","Renewable and Sustainable Energy Reviews","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/anastasijazubkova/Zotero/storage/GF56WZWB/Ni and Bai - 2017 - A review of air conditioning energy performance in data centers.pdf","","Data center; air cooling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PMATRZ7Z","conferencePaper","2025","Kuzmin, Saveliy E.; Butorova, Anastasia S.; Sergeev, Aleksandr P.","Predicting Failures in Heating, Ventilation and Air Conditioning (HVAC) Systems in Data Centers: Problem Statement","2025 IEEE Ural-Siberian Conference on Biomedical Engineering, Radioelectronics and Information Technology (USBEREIT)","","2769-3635","10.1109/USBEREIT65494.2025.11054153","https://ieeexplore.ieee.org/document/11054153/","Data centers are key components of modern digital infrastructure, but their operation is often complicated by various failures of engineering systems serving the DC, such as Heating, Ventilation, and Air Conditioning (HVAC) systems. This paper considers approaches to modeling data center failures caused by faults in HVAC systems using machine learning and physical modeling. Model-based (quantitative/qualitative) and history-based (gray/black box) fault detection and diagnosis (FDD) methods are analyzed. The main focus is on the use of machine learning to predict data center failures. Software such as OpenModelica and 6SigmaDCX and datasets reflecting HVAC system parameters and DC operating conditions are also considered. In conclusion, an approach to data center design is proposed, based on the creation of an integrated monitoring system and predictive models. To predict failures, it is proposed to use graph neural networks to analyze complex relationships between events, or multidimensional models to assess the state of systems.","2025-05","2025-10-31 10:25:42","2025-10-31 10:25:42","2025-10-31 10:25:42","126-129","","","","","","Predicting Failures in Heating, Ventilation and Air Conditioning (HVAC) Systems in Data Centers","","","","","","","","","","","","IEEE Xplore","","","","/Users/anastasijazubkova/Zotero/storage/RYQ377GY/Kuzmin et al. - 2025 - Predicting Failures in Heating, Ventilation and Air Conditioning (HVAC) Systems in Data Centers Pro.pdf","","","Air conditioning; Analytical models; Atmospheric modeling; cooling systems; data center; Data centers; Data models; energy efficiency; HVAC; machine learning; Predictive models; Software; Time series analysis; Ventilation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2025 IEEE Ural-Siberian Conference on Biomedical Engineering, Radioelectronics and Information Technology (USBEREIT)","","","","","","","","","","","","","","",""
"AUGLMT5W","journalArticle","2025","Chen, Dong; Chui, Chee-Kong; Lee, Poh Seng","Adaptive physically consistent neural networks for data center thermal dynamics modeling","Applied Energy","","03062619","10.1016/j.apenergy.2024.124637","https://linkinghub.elsevier.com/retrieve/pii/S0306261924020208","Data centers (DCs) are vital for large-scale Internet services, yet their energy consumption poses a significant concern. Energy modeling for DCs is crucial for design, control, and retrofitting. Traditional physic-based models lack flexibility, while Neural Networks (NN) may not strictly adhere to physical principles and demand extensive data. The Physically Consistent Neural Networks (PCNN) framework, which incorporates physical laws into NN through positive coefficients, is introduced. Despite its innovative approach, PCNN struggles with accuracy and generalization in real-world thermal environments due to its reliance on empirically predetermined, static coefficients, which are costly to derive and limit adaptability to dynamic conditions. To address these limitations, this study proposes the Adaptive Physically Consistent Neural Networks (A-PCNN) framework. A-PCNN leverages NN with Softplus activation functions, replacing traditional preset and fixed coefficients to reduce trial-and-error costs and increase flexibility. Over a six-month real data center dataset case study, the A-PCNN framework significantly outperformed the traditional PCNN model. Specifically, it reduced the Mean Absolute Error by 17.3 % for a 15-min forecast and by 79.2 % over a seven-day period, using a Multilayer Perceptron (MLP) as the base model. Furthermore, the A-PCNN framework demonstrates remarkable adaptability. Whether based on a MLP or Long Short-Term Memory (LSTM) model, it consistently surpasses traditional methods in predictive accuracy across time frames from 15 min to 7 days. Its superior performance is especially notable in longer forecast periods.","2025-01","2025-10-31 10:26:20","2025-10-31 10:26:20","2025-10-31 10:26:20","124637","","","377","","Applied Energy","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/anastasijazubkova/Zotero/storage/T4WVUIFG/Chen et al. - 2025 - Adaptive physically consistent neural networks for data center thermal dynamics modeling.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T8ZI3FGI","dataset","2023","Le, Van Duc","An Air-Cooled Tropical Data Center (TDC2.0) Dataset","","","","10.21979/N9/BLBQ2T","https://researchdata.ntu.edu.sg/dataset.xhtml?persistentId=doi:10.21979/N9/BLBQ2T","This dataset includes the sensor measurement traces collected from an air-cooled data center testbed with a direct expansion cooling system in 2022 and 2023.","2023-07-07","2025-10-31 10:39:01","2025-10-31 10:39:01","2025-10-31 10:39:01","","","","","","","","","","","","DR-NTU (Data)","","en","http://creativecommons.org/licenses/by-nc/4.0","","","","DR-NTU (Data)","","","","/Users/anastasijazubkova/Zotero/storage/X62MM3D4/dataset.html","","","Computer and Information Science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","",""
"MB5UA7BI","journalArticle","2016","Sorrentino, Marco; Acconcia, Matteo; Panagrosso, Davide; Trifirò, Alena","Model-based energy monitoring and diagnosis of telecommunication cooling systems","Energy","","0360-5442","10.1016/j.energy.2016.10.028","https://www.sciencedirect.com/science/article/pii/S0360544216314505","A methodology is proposed for on-line monitoring of cooling load supplied by Telecommunication (TLC) cooling systems. Sensible cooling load is estimated via a proportional integral controller-based input estimator, whereas a lumped parameters model was developed aiming at estimating air handling units (AHUs) latent heat load removal. The joint deployment of above estimators enables accurate prediction of total cooling load, as well as of related AHUs and free-coolers energy performance. The procedure was then proven effective when extended to cooling systems having a centralized chiller, through model-based estimation of a key performance metric, such as the energy efficiency ratio. The results and experimental validation presented throughout the paper confirm the suitability of the proposed procedure as a reliable and effective energy monitoring and diagnostic tool for TLC applications. Moreover, the proposed modeling approach, beyond its direct contribution towards smart use and conservation of energy, can be fruitfully deployed as a virtual sensor of removed heat load into a variety of residential and industrial applications.","2016-12-01","2026-04-07 14:05:54","2026-04-07 14:06:38","2026-04-07 14:05:54","761-772","","","116","","Energy","","","","","","","","","","","","","ScienceDirect","","","","/Users/anastasijazubkova/Zotero/storage/PCPDGWB8/Sorrentino et al. - 2016 - Model-based energy monitoring and diagnosis of telecommunication cooling systems.pdf; /Users/anastasijazubkova/Zotero/storage/V54PATYQ/S0360544216314505.html","","","Climate control; Cooling performance; Energy conservation; Input estimation; Lumped capacity modeling; Telecommunication","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TVMFP847","webpage","","","Development and experimental assessment of a multi-annual energy monitoring tool to support energy intelligence and management in telecommunication industry | Energy Efficiency | Springer Nature Link","","","","","https://link.springer.com/article/10.1007/s12053-024-10242-9","","","2026-04-07 14:08:56","2026-04-07 14:08:56","2026-04-07 14:08:56","","","","","","","","","","","","","","","","","","","","","","","/Users/anastasijazubkova/Zotero/storage/R4XXWKLB/s12053-024-10242-9.html; /Users/anastasijazubkova/Zotero/storage/NG7EJTCU/Development and experimental assessment of a multi-annual energy monitoring tool to support energy i.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8B98JGA3","journalArticle","2019","Sorrentino, Marco; Bruno, Marco; Trifirò, Alena; Rizzo, Gianfranco","An innovative energy efficiency metric for data analytics and diagnostics in telecommunication applications","Applied Energy","","0306-2619","10.1016/j.apenergy.2019.03.173","https://www.sciencedirect.com/science/article/pii/S0306261919305811","This paper introduces and indicates how to deploy a novel energy metric, to be adopted for advanced monitoring and diagnosis of telecommunication central offices and data centers. Such an activity is motivated by the worldwide increasing telecommunication players awareness of the need to substantially reduce their energy demand, both to increase their market competitiveness and meet the stringent greenhouse gas emission regulations. The proposed metric, named utilization factor, was thus defined according to the peculiar energy breakdown of central offices. The aim was to conceive an index that focuses more on telecommunication energy adsorption and, in turn, enables climatic independent efficiency evaluation of the central offices under investigation. Then, suitable data-processing techniques were applied to develop a reliable utilization factor predictive model, whose identification and validation tasks were carried-out over an extended central offices database. The availability of a large amount of data was suitably exploited through data analytics approaches, particularly enabling diagnosis-oriented model development. Upon successful testing of its accuracy, the model was finally proven to be a strategic tool to perform model-based fault detection and isolation of relevant faults that may arise during central office monitoring tasks, such as abnormal data acquisition and non-optimal energy management. The suitability of the proposed metric, to be deployed as an innovative and synthetic energy index, was evaluated over an extended fleet of central offices and data-centers. It was found that the majority (about 70%) of tested central offices exhibits either adequate energy and thermal management or sensor-related only faults.","2019-05-15","2026-04-07 14:09:02","2026-04-07 14:09:02","2026-04-07 14:09:02","1539-1548","","","242","","Applied Energy","","","","","","","","","","","","","ScienceDirect","","","","/Users/anastasijazubkova/Zotero/storage/LD8SEEEA/Sorrentino et al. - 2019 - An innovative energy efficiency metric for data analytics and diagnostics in telecommunication appli.pdf; /Users/anastasijazubkova/Zotero/storage/F2T7K64T/S0306261919305811.html","","","Telecommunication; Data analytics; Energy and thermal management; Energy intelligence; Model-based diagnosis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NRH5KGLX","journalArticle","2017","Ji, Ying; Xu, Peng; Xie, Jingchao","A Performance Assessment Method for Main HVAC Equipment with Electricity Submetering Data","Procedia Engineering","","1877-7058","10.1016/j.proeng.2017.10.320","https://www.sciencedirect.com/science/article/pii/S1877705817349858","HVAC system is one of the biggest contributors to building energy use, and meanwhile a considerable part of energy is wasted due to the faulty operation of it. Hence, detecting and diagnosing HVAC system faults and improving energy efficiency are of large economic and environmental impact worldwide. However, the current study or application is highly limited by the scarcity of energy usage data, while in recent years electricity submeter was widely implemented and massive amounts of submetering data were accumulated in China. The aim of this paper is therefore to develop a performance assessment framework which is specifically designed for HVAC systems in such commercial buildings with electricity submetering data. This framework consists of three parts. 1) A HVAC terminal energy usage disaggregation algorithm and 2) a cooling load estimation algorithm are firstly performed to make up data deficiency. And then, 3) a diagnosis algorithm is proposed, which uses EPI generated from a Chinese standard (GB/T 17981-2007) as the benchmarks. Finally, a real case study in Shanghai is presented to illustrate the proposed framework and shows that the building operators can easily identify the poor performance area.","2017-01-01","2026-04-07 14:09:07","2026-04-07 14:09:07","2026-04-07 14:09:07","3104-3111","","","205","","Procedia Engineering","","10th International Symposium on Heating, Ventilation and Air Conditioning, ISHVAC2017, 19-22 October 2017, Jinan, China","","","","","","","","","","","ScienceDirect","","","","/Users/anastasijazubkova/Zotero/storage/CR9CIIZK/Ji et al. - 2017 - A Performance Assessment Method for Main HVAC Equipment with Electricity Submetering Data.pdf; /Users/anastasijazubkova/Zotero/storage/3KSKRVY4/S1877705817349858.html","","","Cooling load estimation; Electricity submetering data; HVAC terminal energy use disaggregation; Performance assessment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
